name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
dense:dense_condition_1e20@100,100,1.039,0.103,0.141,7.53,0.009396,6.56e-05,143.2317073170732,21,30,PASS,
dense:dense_condition_1e20@200,200,0.884,0.082,0.131,2.62,0.02755,0.0002433,113.2346896835183,8,30,PASS,
dense:dense_condition_1e20@400,400,0.984,0.24,0.269,13.7,0.1029,0.0009212,111.70212765957449,3,30,PASS,
dense:dense_wilkinson_sv@10,9,0.501,0.222,0.235,1.54e-15,0.003174,5.51e-06,576.0435571687841,30,30,PASS,
dense:dense_wilkinson_sv@100,99,0.054,31.158,31.154,3.13e-14,0.02046,0.0002828,72.34794908062234,10,30,FAIL,
dense:dense_wilkinson_sv@200,199,0.027,7.979,7.982,7.71e-15,0.07154,0.0009803,72.97765990003062,3,30,FAIL,
dense:dense_wilkinson_sv@400,399,0.016,8.49,8.491,9.96e-15,0.2822,0.003745,75.35380507343125,3,30,FAIL,
dense:dense_wl_example41@10,10,0.807,0.105,0.2,4.55e-08,0.003193,4.274e-06,747.0753392606458,30,30,PASS,
dense:dense_wl_example41@100,100,0.291,0.031,0.041,66.1,0.00532,0.0001295,41.08108108108108,30,30,PASS,
dense:dense_wl_example41@200,200,0.182,0.021,0.02,15.2,0.01009,0.0006102,16.53556211078335,20,30,PASS,
dense:dense_wl_example41@400,400,0.09,0.007,0.007,12.6,0.02734,0.002579,10.601008142690965,8,30,PASS,
dense:dense_near_overflow@10,10,0.821,0.1,0.15,inf,0.003253,inf,nan,30,0,PASS,
dense:dense_near_overflow@100,100,0.121,0.112,0.102,inf,0.01615,inf,nan,13,0,PASS,
dense:dense_near_overflow@200,200,0.046,0.41,0.464,inf,0.05545,inf,nan,4,0,PASS,
dense:dense_near_overflow@400,400,0.052,0.499,0.529,inf,0.2122,inf,nan,3,0,PASS,
dense:dense_near_underflow@10,10,0.0,0.1,0.15,inf,0.003153,inf,nan,30,0,PASS,
